permissions,links,owner,group,size,month,day,time,name
-rw-r--r--,1,root,root,142,Aug,1,2019,align-right-2x.png
-rw-r--r--,1,root,root,509,Aug,1,2019,align-right.png
-rw-r--r--,1,root,root,863,Aug,1,2019,arrows-2x.png
-rw-r--r--,1,root,root,243,Aug,1,2019,arrows.png
-rw-r--r--,1,root,root,507,Aug,1,2019,bubble_bg-2x.gif
-rw-r--r--,1,root,root,395,Aug,1,2019,bubble_bg.gif
-rw-r--r--,1,root,root,258,Aug,1,2019,comment-grey-bubble-2x.png
-rw-r--r--,1,root,root,114,Aug,1,2019,comment-grey-bubble.png
-rw-r--r--,1,root,root,992,Aug,1,2019,date-button-2x.gif
-rw-r--r--,1,root,root,400,Aug,1,2019,date-button.gif
-rw-r--r--,1,root,root,719,Aug,1,2019,generic.png
-rw-r--r--,1,root,root,35645,Aug,1,2019,icons32-2x.png
-rw-r--r--,1,root,root,12989,Aug,1,2019,icons32.png
-rw-r--r--,1,root,root,37994,Aug,1,2019,icons32-vs-2x.png
-rw-r--r--,1,root,root,12920,Aug,1,2019,icons32-vs.png
-rw-r--r--,1,root,root,14853,Aug,1,2019,imgedit-icons-2x.png
-rw-r--r--,1,root,root,6989,Aug,1,2019,imgedit-icons.png
-rw-r--r--,1,root,root,1523,Aug,1,2019,list-2x.png
-rw-r--r--,1,root,root,1003,Aug,1,2019,list.png
-rw-r--r--,1,root,root,2244,Aug,1,2019,loading.gif
-rw-r--r--,1,root,root,360,Aug,1,2019,marker.png
-rw-r--r--,1,root,root,2001,Aug,1,2019,mask.png
-rw-r--r--,1,root,root,850,Aug,1,2019,media-button-2x.png
-rw-r--r--,1,root,root,198,Aug,1,2019,media-button-image.gif
-rw-r--r--,1,root,root,205,Aug,1,2019,media-button-music.gif
-rw-r--r--,1,root,root,245,Aug,1,2019,media-button-other.gif
-rw-r--r--,1,root,root,323,Aug,1,2019,media-button.png
-rw-r--r--,1,root,root,131,Aug,1,2019,media-button-video.gif
-rw-r--r--,1,root,root,30324,Aug,1,2019,menu-2x.png
-rw-r--r--,1,root,root,9165,Aug,1,2019,menu.png
-rw-r--r--,1,root,root,29592,Aug,1,2019,menu-vs-2x.png
-rw-r--r--,1,root,root,9320,Aug,1,2019,menu-vs.png
-rw-r--r--,1,root,root,755,Aug,1,2019,no.png
-rw-r--r--,1,root,root,7829,Aug,1,2019,post-formats32.png
-rw-r--r--,1,root,root,7512,Aug,1,2019,post-formats32-vs.png
-rw-r--r--,1,root,root,2157,Aug,1,2019,post-formats.png
-rw-r--r--,1,root,root,2794,Aug,1,2019,post-formats-vs.png
-rw-r--r--,1,root,root,234,Aug,1,2019,resize-2x.gif
-rw-r--r--,1,root,root,71,Aug,1,2019,resize.gif
-rw-r--r--,1,root,root,232,Aug,1,2019,resize-rtl-2x.gif
-rw-r--r--,1,root,root,149,Aug,1,2019,resize-rtl.gif
-rw-r--r--,1,root,root,120,Aug,1,2019,se.png
-rw-r--r--,1,root,root,97,Aug,1,2019,sort-2x.gif
-rw-r--r--,1,root,root,54,Aug,1,2019,sort.gif
-rw-r--r--,1,root,root,8564,Aug,1,2019,spinner-2x.gif
-rw-r--r--,1,root,root,4203,Aug,1,2019,spinner.gif
-rw-r--r--,1,root,root,1257,Aug,1,2019,stars-2x.png
-rw-r--r--,1,root,root,924,Aug,1,2019,stars.png
-rw-r--r--,1,root,root,11505,Aug,1,2019,wheel.png
-rw-r--r--,1,root,root,3113,Aug,1,2019,w-logo-blue.png
-rw-r--r--,1,root,root,4159,Aug,1,2019,w-logo-white.png
-rw-r--r--,1,root,root,2480,Aug,1,2019,wordpress-logo.png
-rw-r--r--,1,root,root,1521,Aug,1,2019,wordpress-logo.svg
-rw-r--r--,1,root,root,1518,Aug,1,2019,wordpress-logo-white.svg
-rw-r--r--,1,root,root,9097,Aug,1,2019,wpspin_light-2x.gif
-rw-r--r--,1,root,root,2193,Aug,1,2019,wpspin_light.gif
-rw-r--r--,1,root,root,823,Aug,1,2019,xit-2x.gif
-rw-r--r--,1,root,root,182,Aug,1,2019,xit.gif
-rw-r--r--,1,root,root,539,Aug,1,2019,yes.png
